SRR4425681,SRR4425689,SRR4425715,SRR4425701,SRR4425700,SRR4425686,SRR4425680,SRR4425695,SRR4425678,SRR4425687,SRR4425719,SRR4425688,SRR4425667,SRR4425699,SRR4425705,SRR4425716,SRR4425713,SRR4425708,SRR4425707,SRR4425694,SRR4425690,SRR4425659,SRR4425683,SRR4425685,SRR4425668,SRR4425693,SRR4425704,SRR4425670,SRR4425662,SRR4425712,SRR4425676,SRR4425706,SRR4425677,SRR4425702,SRR4425656,SRR4425660,SRR4425718,SRR4425709,SRR4425703,SRR4425672,SRR4425673,SRR4425697,SRR4425710,SRR4425684,SRR4425666,SRR4425714,SRR4425711,SRR4425717,SRR4425671,SRR4425679,SRR4425661,SRR4425698,SRR4425669,SRR4425692,SRR4425664,SRR4425657,SRR4425675,SRR4425691,SRR4425696,SRR4425658,SRR4425682,SRR4425663,SRR4425665,SRR4425674
MEG_5747|Biocides|Multi-biocide_resistance|Multi-biocide_MATE_efflux_pump|PDRM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725.0,0,0,0,0,0,0,0,0,0,680.0,0,0,0,0,0,0,494.0,416.0,0
MEG_863|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,69.0,66.0,20.0,0,0,0,0,0,0,0,405.0,183.0,16.0,0,0,0,0,0,0,91.0,0,0,109.0,0,0,31.0,1597.0,0,0,0,0,310.0,0,231.0,0,0,494.0,0,0,247.0,90.0,0,1520.0,733.0,385.0,0,0,0,1138.0,1290.0,204.0,0,1723.0,0,0,0,0,0,0,1095.0,471.0,0
MEG_6738|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,73.0,0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.0,0,0,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_902|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,0,0,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.0,0,0,0,0,0,0,0,0,0,170.0,600.0,0,0,0,0,0,78.0,0,0
MEG_1079|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,0,0,467.0,245.0,1322.0,0,0,0,0,0,1120.0,0,0,589.0,55.0,0,1232.0,0,26.0,0,0,8072.0,0,0,0,0,138.0,0,1345.0,224.0,0,0,0,286.0,0,3157.0,404.0,0,340.0,0,0,719.0,454.0,0,129.0,2067.0,580.0,0,0,0,1303.0,1806.0,0,0,192.0,4633.0,0,0,0,0,0,76.0,55.0,0
MEG_1611|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,14.0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,0,0,0,0,0,0,0,0,0,69.0,0,0,0,0,0,0,58.0,0,0
MEG_7037|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,0,0,26894.0,2100.0,1320.0,0,0,0,19.0,0,169.0,0,0,769.0,0,0,1557.0,0,0,0,0,5880.0,0,0,0,0,2425.0,0,6100.0,0,0,1527.0,0,633.0,0,4586.0,0,0,355.0,0,0,3476.0,7182.0,0,0,7148.0,3564.0,0,0,0,9914.0,2843.0,0,0,0,773.0,0,0,0,0,0,0,37.0,0
MEG_7363|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_748|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,0,0,0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,0,0,0,0,84.0,0,0,0,0,0,0,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7347|Drugs|Glycopeptides|VanB-type_resistance_protein|VANB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,0,0,0,0,0,0,0,0,0,40.0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_823|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,0,0,0,0,157.0,0,0,0,0,0,0,0,0,34.0,0,0,60.0,0,0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2575.0,0,0,0,0,0,0,0,0,0,3351.0,0,0,0,0,0,0,2071.0,1088.0,0
MEG_5420|Metals|Copper_resistance|Copper_resistance_protein|PCOC,32.0,0,19876.0,28448.0,9293.0,158.0,10.0,0,137.0,0,0,0,248.0,3949.0,0,0,0,0,0,0,0,25365.0,72.0,14.0,106.0,0,12188.0,26.0,27708.0,0,26.0,0,12.0,3990.0,0,15871.0,23.0,0,2857.0,0,0,27365.0,31791.0,35.0,1353.0,8405.0,13427.0,0,0,82.0,102.0,766.0,137.0,0,1907.0,0,56.0,0,58.0,22.0,51.0,1000.0,760.0,37.0
MEG_1759|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.0,0,0,0,0,0,0,0,0,0,191.0,0,0,0,0,0,0,128.0,107.0,0
MEG_7030|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,0,0,227.0,0,175.0,0,0,0,0,0,2462.0,0,0,302.0,843.0,0,16313.0,17.0,0,0,0,15943.0,0,0,0,0,0,0,7746.0,11800.0,0,379.0,0,0,0,11410.0,6322.0,48.0,0,0,0,1318.0,39.0,0,0,0,0,0,0,0,2807.0,242.0,0,0,70.0,248.0,0,0,0,0,0,0,75.0,0
