SRR4425674.kraken.filtered.report,SRR4425663.kraken.filtered.report,SRR4425666.kraken.filtered.report,SRR4425692.kraken.filtered.report,SRR4425683.kraken.filtered.report,SRR4425709.kraken.filtered.report,SRR4425690.kraken.filtered.report,SRR4425688.kraken.filtered.report,SRR4425719.kraken.filtered.report,SRR4425681.kraken.filtered.report,SRR4425710.kraken.filtered.report,SRR4425687.kraken.filtered.report,SRR4425711.kraken.filtered.report,SRR4425661.kraken.filtered.report,SRR4425658.kraken.filtered.report,SRR4425660.kraken.filtered.report,SRR4425662.kraken.filtered.report,SRR4425697.kraken.filtered.report,SRR4425678.kraken.filtered.report,SRR4425718.kraken.filtered.report,SRR4425684.kraken.filtered.report,SRR4425659.kraken.filtered.report,SRR4425696.kraken.filtered.report,SRR4425689.kraken.filtered.report,SRR4425715.kraken.filtered.report,SRR4425694.kraken.filtered.report,SRR4425712.kraken.filtered.report,SRR4425695.kraken.filtered.report,SRR4425691.kraken.filtered.report,SRR4425664.kraken.filtered.report,SRR4425713.kraken.filtered.report,SRR4425703.kraken.filtered.report,SRR4425682.kraken.filtered.report,SRR4425685.kraken.filtered.report,SRR4425698.kraken.filtered.report,SRR4425714.kraken.filtered.report,SRR4425706.kraken.filtered.report,SRR4425665.kraken.filtered.report,SRR4425702.kraken.filtered.report,SRR4425701.kraken.filtered.report,SRR4425656.kraken.filtered.report,SRR4425686.kraken.filtered.report
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus reuteri",1.0,513.0,85.0,165.0,33447.0,0.0,2.0,4.0,20.0,48741.0,14860.0,33.0,20610.0,37444.0,0.0,20464.0,56864.0,0.0,0.0,112.0,152375.0,11068.0,209547.0,67.0,20592.0,142.0,5.0,109655.0,35.0,113.0,2.0,0.0,35086.0,189604.0,0.0,29729.0,0.0,2384.0,0.0,0.0,102.0,65043.0
"Bacteria",0.0,308497.0,482099.0,10524.0,180974.0,0.0,38235.0,16991.0,727533.0,74344.0,1085946.0,51529.0,989873.0,705397.0,0.0,687699.0,1024950.0,0.0,0.0,882576.0,319898.0,1098135.0,97579.0,11925.0,1482023.0,9651.0,1458065.0,41616.0,4881.0,545472.0,1756387.0,0.0,108106.0,299488.0,0.0,1282098.0,0.0,199554.0,0.0,0.0,10611.0,307233.0
"Bacteria|NA|Firmicutes",0.0,204833.0,297525.0,1046.0,72576.0,0.0,27482.0,9183.0,924396.0,35186.0,106826.0,30653.0,46291.0,839228.0,0.0,870653.0,1228681.0,0.0,0.0,1155933.0,72251.0,1072313.0,32415.0,6091.0,107014.0,919.0,1805269.0,14419.0,314.0,330241.0,2140772.0,0.0,44797.0,76998.0,0.0,105371.0,0.0,100642.0,0.0,3.0,913.0,84620.0
"Bacteria|NA|Firmicutes|Bacilli",0.0,3015.0,4241.0,161.0,63638.0,0.0,90.0,41.0,396.0,4632.0,56968.0,88.0,66333.0,11188.0,0.0,7223.0,12084.0,0.0,0.0,13011.0,155738.0,4598.0,15753.0,504.0,109037.0,150.0,372.0,8450.0,39.0,4795.0,611.0,0.0,6505.0,146095.0,0.0,112551.0,0.0,2238.0,0.0,0.0,116.0,125519.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales",0.0,4143.0,6100.0,232.0,73188.0,0.0,107.0,45.0,172.0,12469.0,37612.0,72.0,30956.0,7082.0,0.0,9341.0,8598.0,0.0,0.0,2381.0,177509.0,7230.0,26359.0,563.0,69685.0,195.0,157.0,14137.0,59.0,6470.0,200.0,0.0,17738.0,169566.0,0.0,40778.0,0.0,2953.0,0.0,0.0,174.0,154755.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae",0.0,70.0,131.0,0.0,906.0,0.0,13.0,5.0,23.0,82.0,7589.0,3.0,6587.0,2.0,0.0,1582.0,15.0,0.0,0.0,1051.0,877.0,12.0,0.0,101.0,14834.0,0.0,6.0,1.0,1.0,79.0,45.0,0.0,1.0,1275.0,0.0,11348.0,0.0,47.0,0.0,0.0,6.0,3398.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus",0.0,70840.0,136777.0,91.0,5455.0,0.0,180.0,69.0,4231.0,498.0,44997.0,38.0,15323.0,20665.0,0.0,45874.0,42324.0,0.0,0.0,23389.0,5156.0,45992.0,90.0,1497.0,21982.0,105.0,12236.0,29.0,38.0,156489.0,12485.0,0.0,173.0,7473.0,0.0,37129.0,0.0,49011.0,0.0,0.0,116.0,18339.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus faecalis",0.0,1040.0,1509.0,43.0,438.0,0.0,1.0,0.0,0.0,3232.0,4470.0,0.0,2127.0,106.0,0.0,33249.0,257.0,0.0,0.0,0.0,239.0,156.0,12.0,0.0,2277.0,22.0,1.0,2.0,6.0,1709.0,0.0,0.0,12.0,557.0,0.0,6808.0,0.0,698.0,0.0,0.0,36.0,477.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus faecium",0.0,955.0,1269.0,80.0,1573.0,0.0,1.0,0.0,4.0,1.0,6798.0,0.0,2121.0,11.0,0.0,5.0,2.0,0.0,0.0,21.0,672.0,10.0,2.0,10.0,11367.0,66.0,1.0,3.0,17.0,1292.0,0.0,0.0,0.0,1122.0,0.0,4556.0,0.0,567.0,0.0,0.0,66.0,5329.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus hirae",0.0,279.0,411.0,27.0,1003.0,0.0,439.0,180.0,1789.0,0.0,2198.0,70.0,2033.0,1.0,0.0,20.0,0.0,0.0,0.0,56591.0,1109.0,38.0,0.0,4626.0,1429.0,17.0,429.0,0.0,1.0,299.0,2249.0,0.0,1.0,1231.0,0.0,2525.0,0.0,175.0,0.0,0.0,14.0,1184.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus cecorum",0.0,31.0,38.0,19.0,45740.0,0.0,25.0,5.0,31.0,84.0,27316.0,54.0,12521.0,17.0,0.0,54.0,22.0,0.0,0.0,19.0,47645.0,40.0,58.0,3.0,93795.0,18.0,5.0,43.0,6.0,43.0,20.0,0.0,81.0,67723.0,0.0,17364.0,0.0,60.0,0.0,0.0,14.0,175101.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus durans",0.0,2.0,11.0,3.0,57.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,70.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,21.0,0.0,23.0,0.0,8.0,0.0,0.0,2.0,23.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus casseliflavus",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae",0.0,676.0,1001.0,62.0,84.0,0.0,0.0,0.0,0.0,390.0,129.0,1.0,0.0,214.0,0.0,329.0,266.0,0.0,0.0,0.0,2.0,330.0,360.0,0.0,532.0,41.0,0.0,242.0,10.0,1072.0,0.0,0.0,581.0,7.0,0.0,2.0,0.0,539.0,0.0,0.0,49.0,232.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus",0.0,8987.0,11168.0,1914.0,5027.0,0.0,5.0,2.0,22.0,13690.0,3421.0,7.0,80.0,3430.0,0.0,6847.0,4273.0,0.0,0.0,15.0,505.0,7035.0,12863.0,2.0,8357.0,1611.0,18.0,7644.0,435.0,10771.0,35.0,0.0,20395.0,408.0,0.0,90.0,0.0,8295.0,0.0,0.0,1368.0,14689.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus thermophilus",0.0,3046.0,4320.0,94.0,66.0,0.0,0.0,0.0,0.0,55.0,47.0,0.0,2.0,7.0,0.0,30.0,20.0,0.0,0.0,0.0,19.0,30.0,53.0,0.0,57.0,91.0,0.0,30.0,17.0,4005.0,0.0,0.0,87.0,9.0,0.0,3.0,0.0,2055.0,0.0,0.0,70.0,241.0
