SRA,Name,Sample Name,ID,Sequencing Library,SampleID,Sample_type,Sequencing_type,Mean_phred_score,Raw_paired_reads,QC_trimmed_paired_reads,Nonhost_paired_reads,Collectors
SRR4425688,SRR4425688,BeefMetagenomeC,BeefC,R5,A,Beef,Metagenome,35.76,14586350,14463348,14459602,MW  ED
SRR4425686,SRR4425686,PoultryMetagenomeA,PoultryA,R14,B,Poultry,Metagenome,35.01,47832242,46517050,46496019,MW  CY
SRR4425685,SRR4425685,PoultryMetagenomeB,PoultryB,R16,C,Poultry,Metagenome,35.15,44894947,43532337,43314778,ED  PR
SRR4425684,SRR4425684,PoultryMetagenomeC,PoultryC,R20,D,Poultry,Metagenome,34.89,39812732,38695051,38681122,ED  PR
SRR4425683,SRR4425683,PoultryMetagenomeD,PoultryD,R8,E,Poultry,Metagenome,35.01,36385404,35222214,35202343,MW  CY
SRR4425692,SRR4425692,WWTPMetagenomeA,WWTPA,R11,F,WWTP,Metagenome,34.55,43004958,41328982,41328045,MW  ER
SRR4425691,SRR4425691,WWTPMetagenomeB,WWTPB,R3,G,WWTP,Metagenome,35.94,16857897,16666909,16666615,MW  ER
SRR4425656,SRR4425656,WWTPMetagenomeC,WWTPC,R9,H,WWTP,Metagenome,34.99,37940563,36999996,36999268,MW  ER
SRR4425694,SRR4425694,WWTPMetagenomeD,WWTPD,R17,I,WWTP,Metagenome,34.7,37461900,36225422,36224639,MW  ER
SRR4425687,SRR4425687,BeefMetagenomeD,BeefD,R13,J,Beef,Metagenome,34.86,47338996,45617783,45586051,MW  ED
SRR4425690,SRR4425690,BeefMetagenomeA,BeefA,R7,K,Beef,Metagenome,34.94,40074580,38931871,38907447,MW  ED
SRR4425689,SRR4425689,BeefMetagenomeB,BeefB,R1,L,Beef,Metagenome,36.14,14187620,14060611,14037879,MW  ED
SRR4425682,SRR4425682,SwineMetagenomeA,SwineA,R15,M,Swine,Metagenome,34.9,55298124,53352707,52444829,MW  ED  PR
SRR4425681,SRR4425681,SwineMetagenomeB,SwineB,R12,N,Swine,Metagenome,34.79,42590283,41041697,39764444,MW  ED  PR
SRR4425695,SRR4425695,SwineMetagenomeC,SwineC,R4,O,Swine,Metagenome,35.97,17212224,17037879,16701899,MW  ED  PR
SRR4425696,SRR4425696,SwineMetagenomeD,SwineD,R18,P,Swine,Metagenome,35.2,41248810,40268110,39260431,MW  ED  PR
