ID,Label on Sample,SequencingID,Matrix,Organism,Collection Date,Collector(s),Facility Type,Facility Location,Pen,Extraction Amt (g),Sedimentation,Extraction Kit,Sequencing Library,SampleID,Madeup,Sample Type,Library Assay,Phred Score,Number of Raw Reads,Number of Raw Reads  Deduplicated,Number of Singletons,Number of Trimmed Reads,Number of Trimmed Reads  Deduplicated,% Trimmed,Number of Nonhost Reads,Number of Nonhost Reads  Deduplicated,% Host,Median Insert Size,% Singletons,Number of SNPs,Total Alignments,Total Alignments  Deduplicated,% of Sequencing On-Target,Number of Gene Accessions Detected,Average number of SNPs per gene
BFe2,beef fecal--2A--6/15,BFe2_L001,Fresh Feces,Cattle,6/23/2015,MW  ED,Feedlot,Wellton  AZ,2633,10,Yes,PowerMax Soil,BFe2_L001,A,A,Beef,Resistome-UMI,35.01,48723273,34780527,24355596,46556063,33211569,4.50%,46504910,33174318,0.11%,353,50.00%,526270,6698941,5075066,6.90%,758,694
AFe25,House B Poultry Feces 5B,AFe25_L004,Feces / Litter,Chicken,5/22/2015,MW  CY,Broiler Farm,Live Oak  FL,Barn 3,10,No,PowerMax Soil,AFe25_L004,B,A,Poultry,Resistome-UMI,34.18,56029729,51332983,47056678,52070951,47650971,7.20%,52021008,47604966,0.10%,330,84.00%,860899,8563050,7839499,7.60%,1245,691
AFe20,House E Poultry Feces 20A,AFe20_L003,Feces / Litter,Chicken,5/22/2015,ED  PR,Broiler Farm,Live Oak  FL,Barn 4,10,No,PowerMax Soil,AFe20_L003,C,B,Poultry,Resistome-UMI,34.55,50853119,27112604,13448611,47721201,25406599,6.30%,47688415,25389259,0.07%,319,26.40%,558208,7292110,4138367,7.20%,1026,544
AFe9,House C Poultry Feces 9A,AFe9_L002,Feces / Litter,Chicken,5/22/2015,ED  PR,Broiler Farm,Live Oak  FL,Barn 2,10,No,PowerMax Soil,AFe9_L002,D,C,Poultry,Resistome-UMI,34.49,46644905,17420586,6040737,42653810,15884388,8.80%,42641799,15879800,0.03%,318,13.00%,1036549,18833566,7355497,20.20%,774,1339
AFe1,House A Poultry Feces 1A,AFe1_L001,Feces / Litter,Chicken,5/22/2015,MW  CY,Broiler Farm,Live Oak  FL,Barn 1,10,No,PowerMax Soil,AFe1_L001,E,D,Poultry,Resistome-UMI,34,52774147,44069786,36681596,48089402,39883326,9.50%,48073028,39869210,0.04%,337,69.50%,1081335,11683849,9675616,11.10%,1265,855
HBHw1,Human Waste Beef 7/15,HBHw1_L001,Treated Human Waste,Human,6/24/2015,MW  ER,Human wastewater tx plant,Yuma  AZ,--,10,No,PowerMax Soil,HBHw1_L001,F,A,WWTP,Resistome-UMI,35.01,55980454,43076786,32694509,53793926,41421601,3.80%,53792965,41420729,0.00%,315,58.40%,63849,840824,649542,0.80%,628,102
HBHw2,Human Waste Beef 7/15,HBHw2_L002,Treated Human Waste,Human,6/24/2015,MW  ER,Human wastewater tx plant,Yuma  AZ,--,10,No,PowerMax Soil,HBHw2_L002,G,B,WWTP,Resistome-UMI,34.67,44037424,36681468,30417598,42158294,35138085,4.20%,42157442,35137315,0.00%,316,69.10%,21558,242647,182114,0.30%,493,44
HBHw3,Human Waste Beef 7/15,HBHw3_L003,Treated Human Waste,Human,6/24/2015,MW  ER,Human wastewater tx plant,Yuma  AZ,--,10,No,PowerMax Soil,HBHw3_L003,H,C,WWTP,Resistome-UMI,34.54,27572607,7869112,2098592,24448725,6943963,11.80%,24448241,6943639,0.01%,338,7.60%,105300,2160166,717847,3.90%,620,170
HBHw4,Human Waste Beef 7/15,HBHw4_L004,Treated Human Waste,Human,6/24/2015,MW  ER,Human wastewater tx plant,Yuma  AZ,--,10,No,PowerMax Soil,HBHw4_L004,I,D,WWTP,Resistome-UMI,34.65,41860765,29348080,20095394,39866910,27947010,4.80%,39866279,27946494,0.00%,326,48.00%,46439,601574,437068,0.70%,587,79
BFe39,beef fecal--19B--6/15,BFe39_L004,Fresh Feces,Cattle,6/23/2015,MW  ED,Feedlot,Wellton  AZ,2530,10,Yes,PowerMax Soil,BFe39_L004,J,B,Beef,Resistome-UMI,34.78,44122611,15243885,5051827,40293213,13805281,9.40%,40228417,13782258,0.17%,332,11.40%,654963,13045865,5162071,14.80%,535,1224
