Run,Sample_name,Fastq-dump-command,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_date,Consent,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolation_source,lat_lon,Library Name,Library_Prep_Assay,Library_Type,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SampleID,SRA Study
SRR4425657,SRR4425657,fastq-dump --split-files --gzip SRR4425657,OTHER,252,13885957512,PRJNA339554,SAMN05597112,Metagenome or environmental,5162796565,COLORADO STATE UNIVERSITY,2015,public,SRX2247583,USA,North America,USA,Bos taurus,Illumina HiSeq 2500,Beef feedlot,not collected,BeefResistomeUMIA,pre-sequencing capture of resistance and virulence genes with use of unique molecular tags,TE-UMI,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,BeefResistomeUMIA,BeefA,SRP091614
SRR4425658,SRR4425658,fastq-dump --split-files --gzip SRR4425658,OTHER,252,14526642816,PRJNA339554,SAMN05597113,Metagenome or environmental,5437915612,COLORADO STATE UNIVERSITY,2015,public,SRX2247584,USA,North America,USA,Bos taurus,Illumina HiSeq 2500,Beef feedlot,not collected,BeefResistomeUMIB,pre-sequencing capture of resistance and virulence genes with use of unique molecular tags,TE-UMI,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,BeefResistomeUMIB,BeefB,SRP091614
SRR4425667,SRR4425667,fastq-dump --split-files --gzip SRR4425667,OTHER,252,6948296964,PRJNA339554,SAMN05597126,Metagenome or environmental,2635938698,COLORADO STATE UNIVERSITY,2015,public,SRX2247593,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Wastewater treatment plant,not collected,WWTPResistomeUMIC,pre-sequencing capture of resistance and virulence genes with use of unique molecular tags,TE-UMI,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,WWTPResistomeUMIC,WWTPC,SRP091614
SRR4425668,SRR4425668,fastq-dump --split-files --gzip SRR4425668,OTHER,252,10548912780,PRJNA339554,SAMN05597127,Metagenome or environmental,3978839221,COLORADO STATE UNIVERSITY,2015,public,SRX2247594,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Wastewater treatment plant,not collected,WWTPResistomeUMID,pre-sequencing capture of resistance and virulence genes with use of unique molecular tags,TE-UMI,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,WWTPResistomeUMID,WWTPD,SRP091614
SRR4425669,SRR4425669,fastq-dump --split-files --gzip SRR4425669,OTHER,252,14107074408,PRJNA339554,SAMN05597124,Metagenome or environmental,5134514426,COLORADO STATE UNIVERSITY,2015,public,SRX2247595,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Wastewater treatment plant,not collected,WWTPResistomeUMIA,pre-sequencing capture of resistance and virulence genes with use of unique molecular tags,TE-UMI,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,WWTPResistomeUMIA,WWTPA,SRP091614
SRR4425670,SRR4425670,fastq-dump --split-files --gzip SRR4425670,OTHER,252,11097430848,PRJNA339554,SAMN05597125,Metagenome or environmental,4153398647,COLORADO STATE UNIVERSITY,2015,public,SRX2247596,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Wastewater treatment plant,not collected,WWTPResistomeUMIB,pre-sequencing capture of resistance and virulence genes with use of unique molecular tags,TE-UMI,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,WWTPResistomeUMIB,WWTPB,SRP091614
SRR4425697,SRR4425697,fastq-dump --split-files --gzip SRR4425697,OTHER,252,13936172040,PRJNA339554,SAMN05597123,Metagenome or environmental,5229249298,COLORADO STATE UNIVERSITY,2015,public,SRX2247623,USA,North America,USA,Sus scrofa,Illumina HiSeq 2500,Swine operation,not collected,SwineResistomeUMID,pre-sequencing capture of resistance and virulence genes with use of unique molecular tags,TE-UMI,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,SwineResistomeUMID,SwineD,SRP091614
SRR4425698,SRR4425698,fastq-dump --split-files --gzip SRR4425698,OTHER,252,7803968256,PRJNA339554,SAMN05597122,Metagenome or environmental,2848213027,COLORADO STATE UNIVERSITY,2015,public,SRX2247624,USA,North America,USA,Sus scrofa,Illumina HiSeq 2500,Swine operation,not collected,SwineResistomeUMIC,pre-sequencing capture of resistance and virulence genes with use of unique molecular tags,TE-UMI,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,SwineResistomeUMIC,SwineC,SRP091614
SRR4425699,SRR4425699,fastq-dump --split-files --gzip SRR4425699,OTHER,252,12444815124,PRJNA339554,SAMN05597121,Metagenome or environmental,4590523186,COLORADO STATE UNIVERSITY,2015,public,SRX2247625,USA,North America,USA,Sus scrofa,Illumina HiSeq 2500,Swine operation,not collected,SwineResistomeUMIB,pre-sequencing capture of resistance and virulence genes with use of unique molecular tags,TE-UMI,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,SwineResistomeUMIB,SwineB,SRP091614
SRR4425700,SRR4425700,fastq-dump --split-files --gzip SRR4425700,OTHER,252,10926261612,PRJNA339554,SAMN05597120,Metagenome or environmental,4136802807,COLORADO STATE UNIVERSITY,2015,public,SRX2247626,USA,North America,USA,Sus scrofa,Illumina HiSeq 2500,Swine operation,not collected,SwineResistomeUMIA,pre-sequencing capture of resistance and virulence genes with use of unique molecular tags,TE-UMI,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,SwineResistomeUMIA,SwineA,SRP091614
