,SRR4425715,SRR4425719,SRR4425713,SRR4425659,SRR4425662,SRR4425712,SRR4425660,SRR4425718,SRR4425710,SRR4425666,SRR4425714,SRR4425711,SRR4425661,SRR4425664,SRR4425663,SRR4425665
MEG_5747|Biocides|Multi-biocide_resistance|Multi-biocide_MATE_efflux_pump|PDRM,0,0,0,0,0,0,0,0,0,725,0,0,0,680,494,416
MEG_863|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,69,0,0,91,1597,0,231,0,90,1520,733,385,1138,1723,1095,471
MEG_6738|Drugs|betalactams|Class_A_betalactamases|TEM,73,0,0,0,0,0,0,0,111,0,56,0,0,0,0,0
MEG_902|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,91,0,0,0,0,0,0,0,170,0,0,0,170,78,0
MEG_1079|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,467,1120,1232,8072,1345,224,3157,404,454,129,2067,580,1303,192,76,55
MEG_1611|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,81,0,0,0,69,58,0
MEG_7037|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,26894,169,1557,5880,6100,0,4586,0,7182,0,7148,3564,9914,0,0,37
MEG_7363|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0
MEG_748|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0
MEG_7347|Drugs|Glycopeptides|VanB-type_resistance_protein|VANB,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
MEG_823|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,34,0,0,0,0,0,2575,0,0,0,3351,2071,1088
MEG_5420|Metals|Copper_resistance|Copper_resistance_protein|PCOC,19876,0,0,25365,27708,0,15871,23,31791,1353,8405,13427,102,1907,1000,760
MEG_1759|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA,0,0,0,0,0,0,0,0,0,177,0,0,0,191,128,107
MEG_7030|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,227,2462,16313,15943,7746,11800,11410,6322,39,0,0,0,2807,70,0,75
MEG_2916|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,428,827,1106,0,54,743,0,505,0,339,0,137,0,422,267,182
MEG_751|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,185,0,0,26,0,0,7,0,484,43,1929,1462,0,26,27,8
MEG_7089|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETK,26672,0,0,271,123,974,196,134,69221,211,83591,46724,0,137,0,0
MEG_6744|Drugs|betalactams|Class_A_betalactamases|TEM,122,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0
MEG_6545|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODB,175140,10660,16982,92596,86017,5381,53561,8512,80662,8852,59590,93049,88315,13390,6464,4068
MEG_7238|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,64418,128620,158304,220247,99214,188300,66540,141693,162100,4994,93396,7574,34238,6637,3587,2278
MEG_2465|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CZCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784
MEG_1124|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,0,0,0,0,0,0,0,0,0,52,0,0,0,42,29,0
MEG_7460|Drugs|Glycopeptides|VanB-type_regulator|VANRB,0,0,0,37,51,0,0,0,0,55,0,0,263,77,29,48
MEG_1215|Drugs|Bacitracin|Bacitracin_ABC_transporter|BCRC,0,0,0,0,0,62,0,83,0,0,0,0,0,0,0,0
MEG_7039|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,51366,360,4280,17013,16414,102,13270,0,17979,132,15750,9155,27274,132,70,28
MEG_6598|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,5415,154,80,499,2181,417,384,63,5484,24201,25319,18342,1016,30510,17141,8672
MEG_791|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,3586,116,26,1410,2244,184,1077,60,1805,756,3745,7016,4211,755,439,322
